game_id,home_team,away_team,away_target,home_target,spread_line,total_line,away_score,home_score,spread,total,predicted,season,week
2020_15_CLE_NYG,NYG,CLE,25.25,19.25,-6.0,44.5,20.0,6.0,-14.0,26.0,0.8484504,2020,15
2020_15_DET_TEN,TEN,DET,22.5,32.0,9.5,54.5,25.0,46.0,21.0,71.0,11.769185,2020,15
2020_15_HOU_IND,IND,HOU,22.5,30.0,7.5,52.5,20.0,27.0,7.0,47.0,6.728031,2020,15
2020_15_JAX_BAL,BAL,JAX,18.25,31.25,13.0,49.5,14.0,40.0,26.0,54.0,14.779411,2020,15
2020_15_KC_NO,NO,KC,28.0,25.5,-2.5,53.5,32.0,29.0,-3.0,61.0,5.1027546,2020,15
2020_15_LAC_LV,LV,LAC,24.25,27.75,3.5,52.0,30.0,27.0,-3.0,57.0,6.956426,2020,15
2020_15_NE_MIA,MIA,NE,20.75,19.25,-1.5,40.0,12.0,22.0,10.0,34.0,-0.16033411,2020,15
2020_15_NYJ_LA,LA,NYJ,13.5,31.0,17.5,44.5,23.0,20.0,-3.0,43.0,10.407749,2020,15
2020_15_PHI_ARI,ARI,PHI,21.5,28.0,6.5,49.5,26.0,33.0,7.0,59.0,8.501657,2020,15
2020_15_PIT_CIN,CIN,PIT,27.5,13.0,-14.5,40.5,17.0,27.0,10.0,44.0,-6.72425,2020,15
2020_15_SEA_WAS,WAS,SEA,25.25,19.25,-6.0,44.5,20.0,15.0,-5.0,35.0,-2.8780398,2020,15
2020_15_SF_DAL,DAL,SF,25.0,21.0,-4.0,46.0,33.0,41.0,8.0,74.0,-1.9645228,2020,15
2020_15_TB_ATL,ATL,TB,27.75,21.75,-6.0,49.5,31.0,27.0,-4.0,58.0,-0.61626434,2020,15
2020_16_ATL_KC,KC,ATL,21.5,32.5,11.0,54.0,14.0,17.0,3.0,31.0,7.2699575,2020,16
2020_16_BUF_NE,NE,BUF,27.0,20.0,-7.0,47.0,38.0,9.0,-29.0,47.0,0.1908958,2020,16
2020_16_CAR_WAS,WAS,CAR,21.0,20.0,-1.0,41.0,20.0,13.0,-7.0,33.0,3.8671288,2020,16
2020_16_CHI_JAX,JAX,CHI,28.25,18.75,-9.5,47.0,41.0,17.0,-24.0,58.0,-5.220433,2020,16
2020_16_CIN_HOU,HOU,CIN,19.25,26.75,7.5,46.0,37.0,31.0,-6.0,68.0,0.75099087,2020,16
2020_16_CLE_NYJ,NYJ,CLE,25.75,19.25,-6.5,45.0,16.0,23.0,7.0,39.0,-2.0726242,2020,16
2020_16_DEN_LAC,LAC,DEN,22.5,25.0,2.5,47.5,16.0,19.0,3.0,35.0,1.647812,2020,16
2020_16_IND_PIT,PIT,IND,22.0,21.0,-1.0,43.0,24.0,28.0,4.0,52.0,-0.7325802,2020,16
2020_16_LA_SEA,SEA,LA,23.25,24.75,1.5,48.0,9.0,20.0,11.0,29.0,3.8245654,2020,16
2020_16_MIA_LV,LV,MIA,26.0,24.0,-2.0,50.0,26.0,25.0,-1.0,51.0,3.97112,2020,16
2020_16_MIN_NO,NO,MIN,21.25,27.75,6.5,49.0,33.0,52.0,19.0,85.0,10.110089,2020,16
2020_16_NYG_BAL,BAL,NYG,16.75,26.75,10.0,43.5,13.0,27.0,14.0,40.0,9.603438,2020,16
2020_16_PHI_DAL,DAL,PHI,26.5,23.5,-3.0,50.0,17.0,37.0,20.0,54.0,2.325255,2020,16
2020_16_SF_ARI,ARI,SF,21.5,27.5,6.0,49.0,20.0,12.0,-8.0,32.0,3.5714283,2020,16
2020_16_TB_DET,DET,TB,33.5,21.5,-12.0,55.0,47.0,7.0,-40.0,54.0,-8.504706,2020,16
2020_16_TEN_GB,GB,TEN,24.75,27.75,3.0,52.5,14.0,40.0,26.0,54.0,1.7351384,2020,16
2020_17_ARI_LA,LA,ARI,20.5,21.5,1.0,42.0,7.0,18.0,11.0,25.0,1.3539851,2020,17
2020_17_ATL_TB,TB,ATL,21.75,29.25,7.5,51.0,27.0,44.0,17.0,71.0,8.21987,2020,17
2020_17_BAL_CIN,CIN,BAL,29.75,16.25,-13.5,46.0,38.0,3.0,-35.0,41.0,-9.550492,2020,17
2020_17_DAL_NYG,NYG,DAL,23.0,21.5,-1.5,44.5,19.0,23.0,4.0,42.0,-0.73173094,2020,17
2020_17_GB_CHI,CHI,GB,26.5,22.0,-4.5,48.5,35.0,16.0,-19.0,51.0,-0.84794235,2020,17
2020_17_JAX_IND,IND,JAX,16.25,31.75,15.5,48.0,14.0,28.0,14.0,42.0,15.292513,2020,17
2020_17_LAC_KC,KC,LAC,25.0,18.0,-7.0,43.0,38.0,21.0,-17.0,59.0,11.074894,2020,17
2020_17_LV_DEN,DEN,LV,26.5,24.0,-2.5,50.5,32.0,31.0,-1.0,63.0,-4.0229273,2020,17
2020_17_MIA_BUF,BUF,MIA,23.0,19.5,-3.5,42.5,26.0,56.0,30.0,82.0,8.279684,2020,17
2020_17_MIN_DET,DET,MIN,28.5,25.5,-3.0,54.0,37.0,35.0,-2.0,72.0,-0.1822989,2020,17
2020_17_NO_CAR,CAR,NO,26.5,20.5,-6.0,47.0,33.0,7.0,-26.0,40.0,-2.9284277,2020,17
2020_17_NYJ_NE,NE,NYJ,19.0,22.0,3.0,41.0,14.0,28.0,14.0,42.0,7.8722515,2020,17
2020_17_PIT_CLE,CLE,PIT,17.25,27.75,10.5,45.0,22.0,24.0,2.0,46.0,0.6480026,2020,17
2020_17_SEA_SF,SF,SEA,26.0,19.0,-7.0,45.0,26.0,23.0,-3.0,49.0,-1.2045159,2020,17
2020_17_TEN_HOU,HOU,TEN,31.25,24.25,-7.0,55.5,41.0,38.0,-3.0,79.0,-6.436578,2020,17
2020_17_WAS_PHI,PHI,WAS,25.0,18.5,-6.5,43.5,20.0,14.0,-6.0,34.0,1.2378376,2020,17
2021_01_ARI_TEN,TEN,ARI,25.75,28.25,2.5,54.0,38.0,13.0,-25.0,51.0,3.039451,2021,01
2021_01_BAL_LV,LV,BAL,26.75,23.75,-3.0,50.5,27.0,33.0,6.0,60.0,-4.7081327,2021,01
2021_01_CHI_LA,LA,CHI,18.25,27.75,9.5,46.0,14.0,34.0,20.0,48.0,-1.8468585,2021,01
2021_01_CLE_KC,KC,CLE,24.5,30.0,5.5,54.5,29.0,33.0,4.0,62.0,6.786791,2021,01
2021_01_DAL_TB,TB,DAL,21.25,31.25,10.0,52.5,29.0,31.0,2.0,60.0,9.780081,2021,01
2021_01_DEN_NYG,NYG,DEN,22.25,19.25,-3.0,41.5,27.0,13.0,-14.0,40.0,3.28117,2021,01
2021_01_GB_NO,NO,GB,26.5,22.5,-4.0,49.0,3.0,38.0,35.0,41.0,1.9418821,2021,01
2021_01_JAX_HOU,HOU,JAX,24.5,21.0,-3.5,45.5,21.0,37.0,16.0,58.0,6.556223,2021,01
2021_01_LAC_WAS,WAS,LAC,21.5,24.0,2.5,45.5,20.0,16.0,-4.0,36.0,1.6747576,2021,01
2021_01_MIA_NE,NE,MIA,20.0,23.5,3.5,43.5,17.0,16.0,-1.0,33.0,-4.642584,2021,01
2021_01_MIN_CIN,CIN,MIN,25.0,22.0,-3.0,47.0,24.0,27.0,3.0,51.0,-1.4190855,2021,01
2021_01_NYJ_CAR,CAR,NYJ,20.5,24.0,3.5,44.5,14.0,19.0,5.0,33.0,7.4211125,2021,01
2021_01_PHI_ATL,ATL,PHI,22.75,26.25,3.5,49.0,32.0,6.0,-26.0,38.0,6.4649115,2021,01
2021_01_PIT_BUF,BUF,PIT,20.75,27.25,6.5,48.0,23.0,16.0,-7.0,39.0,9.77705,2021,01
2021_01_SEA_IND,IND,SEA,26.0,23.0,-3.0,49.0,28.0,16.0,-12.0,44.0,1.0077395,2021,01
2021_01_SF_DET,DET,SF,27.75,18.25,-9.5,46.0,41.0,33.0,-8.0,74.0,-2.8962398,2021,01
2021_02_ATL_TB,TB,ATL,19.25,32.75,13.5,52.0,25.0,48.0,23.0,73.0,14.302093,2021,02
2021_02_BUF_MIA,MIA,BUF,25.75,22.25,-3.5,48.0,35.0,0.0,-35.0,35.0,-9.327116,2021,02
2021_02_CIN_CHI,CHI,CIN,21.25,23.25,2.0,44.5,17.0,20.0,3.0,37.0,7.3134475,2021,02
